_id/$oid,ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,SortID
5f0578fddc89b71bdcd060be,4d123a4a-2f1e-4b0c-8a90-9d1950dedc45,14e435cd-089c-47d5-972e-f13155814a10,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 2 (B1),BP. Quản lý chất lượng (BP.QC),Quản lý chất lượng hoàn tất,PPG,,PPJ,600000,FC_633000,633007,633207,3700847
5f0578fddc89b71bdcd060bf,c5e6c1ce-81d5-4a67-afb0-9d44e769bd2e,cfec4bb2-d0a1-408f-9d5c-41d3cf6f5301,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may xuất khẩu Phong Phú Long An - Công ty CPQT Phong Phú,Chuyền may,Chuyền 28,,PPG,,PPJ,290000,291000,291028,,3699544
5f0578fddc89b71bdcd060c0,6f6141c8-92dd-482c-b340-9d605f40f9e2,f5b7acf4-835b-4722-a171-a0f1daef6786,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Nhà Máy Wash Đà Nẵng A,Bộ phận kho ,,PPG,,PPJ,340000,FC_390000,390700,,3700266
5f0578fddc89b71bdcd060c1,33a707dc-98cf-4152-8319-9d66925c689c,d0c99cdc-c6ae-4569-903e-0bfa738eb4ab,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 1 (Khu A),Xưởng May,Chuyền 15,PPG,,PPJ,600000,FC_632000,632005,6321605,3699132
5f0578fddc89b71bdcd060c2,b70598d7-fb0b-4dd7-bf91-9d7d715535b2,039dd5ef-5559-4a90-a83e-a1c6a0d662fe,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,Nhà máy May Xuất khẩu Phong Phú Phú Yên 1,PHÂN XƯỞNG 1,,,PPG,,PY,FC_P01,P03000,,,3700273
5f0578fddc89b71bdcd060c3,5ce9c734-4ab3-4598-ae50-9d97f76c9efa,522e5e0d-21e1-470c-8759-f62fd788fca1,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Nhà máy May Xuất khẩu Phong Phú Đà Nẵng B,Chuyền Test Order,Bộ phận QC chuyền,PPG,,PPJ,340000,FC_470000,470100,470102,3700901
5f0578fddc89b71bdcd060c4,d5d8f49e-9af8-4eef-959d-9db8b0fc0f67,c2c102fd-d9b6-48d6-a33d-8be772186f97,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may Jeans Xuất Khẩu,,,,PPG,,PPJ,FC_230000,,,,3700118
5f0578fddc89b71bdcd060c5,13044fb6-0dd0-478f-96b2-9dc328638c1f,86f184ee-67fe-4b43-a054-05992b42489b,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 2 (B1), BP Nghiệp vụ,BP. KSSX,PPG,,PPJ,600000,FC_633000,633001,633009,3699064
5f0578fddc89b71bdcd060c6,0a6e3884-e17b-4995-808f-9dcec2ffa5a7,cc8b4f30-6384-40fa-ad91-2bf8056ab533,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may xuất khẩu Phong Phú Long An - Công ty CPQT Phong Phú,Chuyền may,Chuyền 29,,PPG,,PPJ,290000,291000,291029,,3699363
5f0578fddc89b71bdcd060c7,6a9f33a1-99f7-408f-aa2f-9dcf05e7255a,ce66eb62-73a5-443e-a4a4-cad908e2229c,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ THÀNH CHÂU,,BP. Cơ điện - Bảo trì,,,PPG,,TIC,,643004,,,3700571
5f0578fddc89b71bdcd060c8,ffaf485e-d372-45dd-baee-9dd5bf4896e3,090490f4-9212-4077-b097-c4b58aa8ae1e,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may Jeans Xuất Khẩu,Bộ phận thêu ,Quản lý sản xuất,,PPG,,PPJ,FC_230000,451101,450800,,3700525
